college_x,height_x,position_x,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,salary,season,draft_round,draft_pick
Southeastern Oklahoma State University,79.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366560.0,1987,2,27
"Tyler Junior College, University of Idaho",80.0,F,0.7,0.35100000000000003,0.2,6.9,0.483,3.3,0.63,3.8,2.4,55.0,9.3,368559.35599999997,2003,2,50
University of Connecticut,75.0,G,4.8,0.4,1.9,13.6,0.42100000000000004,5.7,0.7609999999999999,4.6,3.5,127.0,16.9,368800.0,1992,2,34
North Carolina State University,78.0,F,1.2,0.37200000000000005,0.5,7.6,0.489,3.7,0.732,2.0,1.5,111.0,9.3,368800.0,1992,0,0
Oklahoma State University,74.0,G,2.7,0.34600000000000003,0.9,8.3,0.447,3.7,0.7290000000000001,2.7,2.0,128.0,10.3,368800.0,1992,2,33
University of Kansas,75.0,G,2.7,0.406,1.1,8.9,0.48700000000000004,4.3,0.774,3.0,2.3,139.0,12.2,374809.99999999994,1990,2,34
Duke University,80.0,F,0.0,0.0,0.0,3.2,0.525,1.7,0.6,2.1,1.3,140.0,4.6,378367.48800000007,2011,0,0
University of Washington,75.0,G,2.6,0.397,1.0,10.7,0.48100000000000004,5.1,0.812,4.0,3.2,117.0,14.5,381150.0,1995,0,0
Arizona State University,84.0,C-F,0.0,0.0,0.0,9.2,0.523,4.8,0.611,3.8,2.3,82.0,12.0,381150.0,1984,1,21
Providence College,80.0,F,0.0,0.0,0.0,6.0,0.564,3.4,0.486,4.0,1.9,105.0,8.8,381150.0,1995,0,0
Rutgers University,81.0,F-C,0.0,0.0,0.0,10.3,0.502,5.2,0.606,4.0,2.4,119.0,12.8,381150.0,1984,1,20
Drake University,78.0,G-F,0.0,0.0,0.0,20.2,0.5489999999999999,11.1,0.7240000000000001,8.2,5.9,56.0,28.2,381150.0,1984,4,76
University of the Pacific,75.0,G,5.1,0.39399999999999996,2.0,11.4,0.455,5.2,0.695,4.0,2.7,115.0,15.1,381150.0,1995,0,0
Southern Illinois University,80.0,F,0.4,0.22899999999999998,0.1,9.4,0.5670000000000001,5.3,0.659,5.8,3.8,128.0,14.6,381150.0,1995,0,0
Wake Forest University,80.0,F,0.7,0.377,0.3,12.0,0.519,6.2,0.64,4.0,2.5,113.0,15.2,381150.0,1995,2,45
University of Connecticut,79.0,F,0.0,0.33299999999999996,0.0,8.8,0.515,4.5,0.606,4.9,3.0,133.0,12.1,382757.922,2010,0,0
Purdue University,77.0,G-F,3.4,0.406,1.4,8.0,0.465,3.7,0.7509999999999999,2.4,1.8,90.0,10.7,384400.0,1991,2,39
Slippery Rock University of Pennsylvania,75.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384400.0,1991,2,34
