college_x,height_x,position_x,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,salary,season,draft_round,draft_pick
Florida Agricultural and Mechanical University,84.0,C,0.0,0.0,0.0,12.8,0.495,6.3,0.527,6.2,3.3,81.0,16.0,449650.0,1998,2,36
Florida State University,83.0,F,0.6,0.275,0.2,9.3,0.474,4.4,0.654,3.4,2.2,86.0,11.2,449650.0,1998,0,0
"University of California, Los Angeles",80.0,F,0.3,0.353,0.1,9.7,0.5489999999999999,5.3,0.638,5.4,3.4,127.0,14.2,449650.0,1998,2,56
Santa Clara University,74.0,G,5.0,0.39799999999999996,2.0,9.3,0.44299999999999995,4.1,0.787,3.1,2.4,106.0,12.7,449650.0,1998,0,0
Texas Tech University,75.0,G,6.2,0.366,2.3,12.8,0.428,5.5,0.797,4.2,3.3,115.0,16.6,449650.0,1998,2,49
"University of California, Los Angeles",78.0,G,3.9,0.341,1.3,11.5,0.45899999999999996,5.3,0.667,3.7,2.5,129.0,14.3,449650.0,1998,2,45
Eastern Michigan University,65.0,G,4.2,0.353,1.5,14.2,0.439,6.2,0.8029999999999999,5.2,4.2,122.0,18.1,449650.0,1998,0,0
University of Arizona,78.0,F-G,0.8,0.381,0.3,6.1,0.547,3.4,0.743,2.3,1.7,131.0,8.7,455849.99999999994,1990,2,38
Vanderbilt University,81.0,F,0.1,0.33299999999999996,0.0,6.0,0.534,3.2,0.642,2.4,1.5,117.0,8.0,455849.99999999994,1990,2,30
Dartmouth College,85.0,C-F,0.1,0.111,0.0,7.2,0.5479999999999999,4.0,0.768,3.2,2.4,87.0,10.4,455849.99999999994,1990,2,33
University of Minnesota,77.0,G-F,2.5,0.39299999999999996,1.0,9.3,0.469,4.4,0.784,2.1,1.7,119.0,11.4,461000.0,1992,2,28
University of Tulsa,76.0,G-F,2.8,0.45399999999999996,1.3,12.7,0.461,5.8,0.733,3.8,2.8,121.0,15.1,461000.0,1992,0,0
University of Maryland,81.0,F-C,0.0,0.0,0.0,6.9,0.488,3.4,0.654,4.6,3.0,118.0,9.9,465189.375,1999,2,37
University of Kansas,77.0,G,2.5,0.40700000000000003,1.0,5.2,0.445,2.3,0.802,2.2,1.8,142.0,7.4,465189.375,1999,2,45
Clemson University,80.0,F,0.0,0.0,0.0,5.8,0.609,3.5,0.541,4.6,2.5,129.0,9.5,465189.375,1999,0,0
Villanova University,76.0,G,3.5,0.33,1.2,8.3,0.41,3.4,0.731,2.7,2.0,124.0,9.9,465189.375,1999,2,30
University of Maryland,77.0,G-F,2.6,0.322,0.8,9.8,0.474,4.7,0.684,3.4,2.4,125.0,12.5,465189.375,1999,2,38
"Midland College, Colorado State University",75.0,G,2.6,0.361,0.9,8.8,0.466,4.1,0.715,4.1,3.0,88.0,12.1,465189.375,1999,0,0
University of Washington,84.0,C,0.0,0.0,0.0,9.2,0.664,6.1,0.66,4.5,2.9,115.0,15.2,465189.375,1999,2,47
"Boston College, California State University, Fresno",74.0,G,5.2,0.36700000000000005,1.9,11.3,0.45799999999999996,5.2,0.636,4.4,2.8,87.0,15.1,465189.375,1999,2,33
Northwestern University,83.0,C,0.0,0.0,0.0,9.3,0.595,5.5,0.655,7.7,5.0,112.0,16.1,465189.375,1999,2,34
Eastern Michigan University,76.0,G,4.7,0.377,1.8,11.8,0.48,5.7,0.774,3.1,2.4,122.0,15.5,465189.375,1999,2,52
Creighton University,77.0,G-F,4.7,0.38,1.8,14.7,0.447,6.6,0.753,3.9,2.9,118.0,17.9,465189.375,1999,2,53
University of Iowa,79.0,F,0.4,0.375,0.2,5.8,0.575,3.3,0.685,3.4,2.4,120.0,9.1,465189.375,1999,2,55
Pennsylvania State University,83.0,C,0.1,0.091,0.0,8.6,0.507,4.4,0.7070000000000001,3.6,2.5,114.0,11.3,465189.375,1999,2,35
Stanford University,84.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465189.375,1999,2,56
"California State University, Fresno",74.0,G,5.9,0.337,2.0,9.4,0.401,3.8,0.758,2.0,1.5,33.0,11.0,465189.375,1999,2,39
Villanova University,78.0,G-F,3.6,0.39399999999999996,1.4,11.6,0.486,5.6,0.716,3.4,2.4,138.0,14.8,465979.99999999994,1990,2,38
University of Detroit Mercy,76.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466730.375,1999,0,0
Arizona State University,75.0,G,0.0,0.0,0.0,8.2,0.45,3.7,0.753,3.5,2.7,113.0,10.1,470085.0,1984,1,11
Syracuse University,77.0,G,5.2,0.316,1.6,14.3,0.483,6.9,0.716,5.3,3.8,121.0,19.3,474320.0,1995,2,36
Arizona State University,73.0,G,5.5,0.366,2.0,14.5,0.425,6.2,0.7979999999999999,2.7,2.2,124.0,16.5,477989.252,2000,2,37
Louisiana State University,83.0,C,1.4,0.298,0.4,8.3,0.532,4.4,0.639,5.1,3.3,61.0,12.6,477989.252,2000,2,45
"University of New Mexico, Saint Vincent College",85.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477989.252,2000,0,0
Temple University,76.0,G,4.4,0.295,1.3,8.5,0.341,2.9,0.728,1.9,1.4,116.0,8.5,477989.252,2000,0,0
"California State University, Fresno",79.0,F,5.7,0.37,2.1,10.7,0.43700000000000006,4.7,0.706,2.5,1.7,128.0,13.2,477989.252,2000,0,0
Ohio State University,78.0,G,4.1,0.319,1.3,16.3,0.44799999999999995,7.3,0.649,5.7,3.7,96.0,19.6,477989.252,2000,2,43
St. John's University,77.0,G,2.2,0.326,0.7,8.9,0.43,3.8,0.789,3.4,2.7,129.0,11.1,477989.252,2000,2,39
Auburn University,79.0,F,0.7,0.308,0.2,12.2,0.467,5.7,0.6509999999999999,5.7,3.7,56.0,15.3,477989.252,2000,2,55
Master's College,75.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477989.252,2000,0,0
University of Pittsburgh,84.0,C,0.0,0.5,0.0,5.2,0.466,2.4,0.518,3.0,1.6,56.0,6.4,477989.252,2000,2,54
Xavier University,80.0,F,0.0,0.0,0.0,8.6,0.55,4.7,0.727,5.4,3.9,59.0,13.4,477989.252,2000,2,57
Miami University,79.0,F,0.3,0.235,0.1,7.1,0.5479999999999999,3.9,0.643,1.7,1.1,58.0,8.9,477989.252,2000,0,0
University of Oklahoma,80.0,F,2.3,0.28800000000000003,0.7,11.3,0.43,4.9,0.669,4.0,2.7,126.0,13.1,477989.252,2000,2,38
"Butler County Community College, Texas Christian University",81.0,F,0.3,0.294,0.1,17.7,0.532,9.4,0.728,6.7,4.9,63.0,23.9,477989.252,2000,2,43
Purdue University,80.0,F,2.7,0.365,1.0,8.1,0.461,3.8,0.7609999999999999,4.6,3.5,132.0,12.0,477989.252,2000,2,44
University of Utah,83.0,C,1.8,0.33299999999999996,0.6,9.0,0.5,4.5,0.774,3.7,2.9,120.0,12.4,477989.252,2000,2,40
DePaul University,76.0,G,0.5,0.313,0.2,8.8,0.53,4.7,0.629,2.8,1.8,32.0,11.2,477989.252,2000,0,0
University of Connecticut,70.0,G,5.1,0.355,1.8,12.9,0.41600000000000004,5.4,0.8220000000000001,3.3,2.7,108.0,15.3,477989.252,2000,2,34
Providence College,81.0,F,0.0,0.0,0.0,7.2,0.519,3.7,0.41,2.2,0.9,65.0,8.4,477989.252,2000,0,0
Indiana University,73.0,G,5.3,0.414,2.2,12.8,0.455,5.8,0.79,3.2,2.5,128.0,16.4,477989.252,2000,2,32
St. John's University,83.0,C-F,0.1,0.0,0.0,10.8,0.475,5.1,0.7040000000000001,8.0,5.6,114.0,15.9,477989.252,2000,0,0
Vanderbilt University,83.0,F,3.0,0.38299999999999995,1.1,9.0,0.445,4.0,0.831,3.9,3.3,121.0,12.4,477989.252,2000,2,31
College of Saint Rose,86.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477989.252,2000,0,0
Syracuse University,75.0,G,3.2,0.326,1.1,10.1,0.39299999999999996,4.0,0.7120000000000001,3.3,2.4,132.0,11.4,477989.252,2000,2,49
Butler County Community College,80.0,F-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477989.252,2000,2,42
"Virginia Commonwealth University, Temple University",82.0,C,0.1,0.4,0.0,9.4,0.475,4.5,0.7090000000000001,4.9,3.4,85.0,12.5,477989.252,2000,2,37
University of Louisiana at Monroe,80.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477989.252,2000,2,35
University of Connecticut,83.0,C,0.0,0.0,0.0,4.3,0.542,2.3,0.6559999999999999,2.4,1.6,138.0,6.3,477989.252,2000,2,33
University of Kentucky,75.0,G,4.0,0.396,1.6,8.0,0.452,3.6,0.736,2.9,2.1,127.0,11.0,478251.282,2005,0,0
Tulane University,81.0,F-G,5.0,0.308,1.5,15.0,0.42100000000000004,6.3,0.672,5.2,3.5,125.0,17.7,480300.0,1997,2,38
Vanderbilt University,82.0,F,4.3,0.355,1.5,11.7,0.44799999999999995,5.2,0.7859999999999999,4.7,3.7,121.0,15.6,481009.62,2004,2,53
Oklahoma City University,73.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483600.00000000006,1985,5,104
University of South Carolina,75.0,G,0.0,0.0,0.0,11.4,0.484,5.5,0.7979999999999999,4.0,3.2,111.0,14.3,483600.00000000006,1985,6,99
Stanford University,84.0,C-F,0.0,0.0,0.0,13.9,0.49700000000000005,6.9,0.7879999999999999,6.0,4.7,76.0,18.6,483600.00000000006,1985,1,7
University of Georgia,77.0,G,0.0,0.0,0.0,11.0,0.508,5.6,0.705,4.3,3.0,125.0,14.2,483600.00000000006,1985,1,18
Indiana University,85.0,C,0.0,0.0,0.0,8.5,0.5429999999999999,4.6,0.639,3.5,2.3,118.0,11.5,483600.00000000006,1985,1,17
University of Louisville,75.0,G,0.0,0.0,0.0,10.1,0.504,5.1,0.7509999999999999,2.5,1.9,134.0,12.0,483600.00000000006,1985,1,8
Vanderbilt University,81.0,F-C,0.0,0.0,0.0,8.8,0.506,4.4,0.772,2.6,2.0,117.0,10.9,483600.00000000006,1985,1,17
University of Southern California,76.0,G,1.9,0.298,0.6,8.6,0.47100000000000003,4.1,0.659,2.9,1.9,106.0,10.6,485247.18600000005,2001,2,36
McNeese State University,74.0,G,2.8,0.337,1.0,12.6,0.444,5.6,0.7340000000000001,4.5,3.3,110.0,15.4,485247.18600000005,2001,0,0
Georgia Institute of Technology,83.0,C,0.0,0.0,0.0,7.4,0.489,3.6,0.574,5.8,3.3,124.0,10.6,485247.18600000005,2001,2,57
Clemson University,73.0,G,6.2,0.366,2.3,12.7,0.392,5.0,0.7170000000000001,4.1,3.0,94.0,15.2,485247.18600000005,2001,2,33
Stanford University,83.0,F-C,0.1,0.25,0.0,5.5,0.52,2.9,0.669,3.9,2.6,129.0,8.4,485247.18600000005,2001,2,53
Austin Peay State University,77.0,G,4.2,0.345,1.5,14.6,0.47100000000000003,6.9,0.779,5.3,4.1,84.0,19.4,485247.18600000005,2001,2,30
University of Iowa,71.0,G,3.5,0.368,1.3,9.6,0.384,3.7,0.754,4.9,3.7,126.0,12.4,485247.18600000005,2001,0,0
Indian Hills Community College,84.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485247.18600000005,2001,2,52
Syracuse University,81.0,F,0.8,0.225,0.2,8.7,0.49700000000000005,4.3,0.742,2.7,2.0,113.0,10.9,485247.18600000005,2001,2,37
"Wichita State University, University of Texas at Austin",77.0,G,5.7,0.382,2.2,13.0,0.43200000000000005,5.6,0.752,4.2,3.1,93.0,16.5,485247.18600000005,2001,0,0
Hofstra University,77.0,G,4.6,0.345,1.6,11.8,0.41,4.8,0.695,3.7,2.6,121.0,13.9,485247.18600000005,2001,0,0
Auburn University,76.0,G,1.0,0.22,0.2,4.5,0.456,2.1,0.527,2.5,1.3,58.0,5.7,485247.18600000005,2001,2,41
University of Cincinnati,74.0,G,3.0,0.32299999999999995,1.0,9.8,0.40299999999999997,3.9,0.78,3.9,3.1,68.0,11.9,485247.18600000005,2001,2,54
University of Southern California,81.0,F,1.5,0.34299999999999997,0.5,11.2,0.513,5.7,0.77,4.8,3.7,92.0,15.7,485247.18600000005,2001,2,35
Georgetown University,84.0,C,0.0,0.0,0.0,7.0,0.485,3.4,0.664,4.2,2.8,101.0,9.6,485247.18600000005,2001,2,50
Florida International University,74.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485247.18600000005,2001,0,0
University of Arizona,75.0,G,4.2,0.361,1.5,12.1,0.466,5.6,0.738,4.0,3.0,70.0,15.8,485247.18600000005,2001,2,31
Villanova University,82.0,F-C,0.0,0.0,0.0,6.7,0.514,3.4,0.696,3.0,2.1,127.0,8.9,485247.18600000005,2001,0,0
"Wake Forest University, University of Arizona",85.0,F-C,0.1,0.222,0.0,8.0,0.493,3.9,0.745,4.3,3.2,107.0,11.1,485247.18600000005,2001,2,46
"University of California, Los Angeles",73.0,G,3.0,0.341,1.0,8.9,0.45,4.0,0.654,3.3,2.2,129.0,11.2,485247.18600000005,2001,2,40
DePaul University,79.0,G-F,3.9,0.331,1.3,10.1,0.428,4.3,0.7829999999999999,4.6,3.6,93.0,13.6,485247.18600000005,2001,2,42
University of Houston,81.0,F,1.3,0.265,0.3,8.5,0.43200000000000005,3.7,0.609,5.1,3.1,26.0,10.8,485247.18600000005,2001,2,51
Seton Hall University,81.0,F-C,0.0,0.667,0.0,11.8,0.521,6.2,0.705,5.4,3.8,118.0,16.2,486200.0,1988,1,21
University of Notre Dame,78.0,G,5.7,0.395,2.3,10.6,0.445,4.7,0.825,2.7,2.2,133.0,13.9,487248.67199999996,2003,0,0
University of Oregon,84.0,C,0.0,0.0,0.0,10.5,0.517,5.4,0.736,3.8,2.8,114.0,13.6,489645.00000000006,1985,1,15
Murray State University,80.0,F,0.7,0.345,0.2,12.9,0.493,6.4,0.7509999999999999,5.0,3.8,123.0,16.7,492250.0,1993,2,41
St. John's University,82.0,C,0.0,0.0,0.0,8.1,0.537,4.3,0.562,3.2,1.8,113.0,10.5,494400.00000000006,1996,2,43
University of Maryland,80.0,F,0.0,0.6,0.0,9.3,0.5529999999999999,5.2,0.6,5.2,3.1,138.0,13.5,495531.4440000001,2002,2,44
Auburn University,83.0,C-F,0.8,0.222,0.2,7.2,0.491,3.5,0.631,2.7,1.7,120.0,8.9,495531.4440000001,2002,0,0
La Salle University,79.0,F-G,7.1,0.359,2.6,16.7,0.409,6.8,0.8290000000000001,3.7,3.1,110.0,19.3,495531.4440000001,2002,2,53
Marshall University,80.0,G,5.7,0.386,2.2,12.4,0.44299999999999995,5.5,0.7490000000000001,3.4,2.5,114.0,15.7,495531.4440000001,2002,2,54
"University of Alabama at Birmingham, University of Hawaii",78.0,G,4.7,0.366,1.7,10.3,0.428,4.4,0.7859999999999999,4.1,3.3,106.0,13.8,495531.4440000001,2002,0,0
St. Bonaventure University,74.0,G,6.0,0.33299999999999996,2.0,12.2,0.40299999999999997,4.9,0.752,4.8,3.6,112.0,15.5,495531.4440000001,2002,0,0
Duke University,81.0,F-C,0.0,0.0,0.0,8.7,0.631,5.5,0.741,5.3,3.9,101.0,14.9,495531.4440000001,2002,2,35
University of California,83.0,F-C,0.0,0.0,0.0,5.7,0.426,2.4,0.526,3.0,1.6,32.0,6.4,495531.4440000001,2002,2,47
University of Iowa,80.0,F,0.0,0.5,0.0,9.7,0.486,4.7,0.625,9.4,5.9,69.0,15.3,495531.4440000001,2002,0,0
Fordham University,76.0,G,6.2,0.32799999999999996,2.0,12.6,0.433,5.5,0.73,4.9,3.6,28.0,16.5,495531.4440000001,2002,0,0
University of California,79.0,F,0.7,0.21,0.1,10.9,0.494,5.4,0.6709999999999999,5.3,3.6,123.0,14.4,495531.4440000001,2002,2,45
"University of California, Los Angeles",83.0,C,0.0,0.0,0.0,8.2,0.5479999999999999,4.5,0.449,3.5,1.6,122.0,10.5,495531.4440000001,2002,2,34
Wingate University,76.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495531.4440000001,2002,0,0
"California State University, Fresno",76.0,G,2.8,0.28600000000000003,0.8,11.2,0.391,4.4,0.703,5.5,3.9,25.0,13.5,495531.4440000001,2002,2,38
University of Virginia,77.0,G,4.1,0.375,1.5,10.0,0.436,4.4,0.8690000000000001,4.1,3.6,89.0,13.8,495531.4440000001,2002,2,31
"Meridian Community College, Shaw University",76.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495531.4440000001,2002,2,42
"Tulane University, University of Texas at Austin",79.0,F,0.6,0.231,0.1,8.5,0.45299999999999996,3.8,0.598,5.0,3.0,106.0,10.8,495531.4440000001,2002,2,48
University of Illinois at Urbana-Champaign,83.0,F,0.0,0.0,0.0,3.5,0.57,2.0,0.6809999999999999,3.2,2.2,130.0,6.2,495531.4440000001,2002,2,32
University of Arkansas,73.0,G,6.6,0.425,2.8,10.9,0.455,5.0,0.82,2.0,1.7,60.0,14.4,495531.4440000001,2002,0,0
Arizona State University,80.0,F,2.0,0.301,0.6,11.9,0.49700000000000005,5.9,0.654,3.5,2.3,76.0,14.7,495531.4440000001,2002,0,0
University of New Orleans,77.0,G-F,4.3,0.35200000000000004,1.5,17.6,0.48200000000000004,8.5,0.7759999999999999,5.9,4.6,59.0,23.0,497250.0,1988,2,36
George Washington University,81.0,C-F,0.0,0.0,0.0,12.6,0.509,6.4,0.653,6.8,4.5,111.0,17.3,504020.0,1987,3,69
Virginia Union University,81.0,F-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506499.99999999994,1990,0,0
University of Connecticut,82.0,F-C,0.4,0.33299999999999996,0.1,12.7,0.452,5.7,0.6409999999999999,5.8,3.7,109.0,15.3,506499.99999999994,1990,2,36
Texas Christian University,82.0,C,0.0,0.0,0.0,10.3,0.496,5.1,0.574,5.6,3.2,121.0,13.5,507100.0,1992,2,31
University of Tennessee,79.0,G-F,0.0,0.0,0.0,11.9,0.595,7.1,0.765,4.4,3.4,118.0,17.5,508200.0,1984,1,9
Santa Clara University,80.0,F,0.0,0.0,0.0,12.2,0.521,6.4,0.65,5.0,3.3,108.0,16.0,508200.0,1984,3,58
University of Illinois at Urbana-Champaign,76.0,G,0.8,0.48100000000000004,0.4,9.5,0.478,4.5,0.701,2.4,1.7,90.0,10.9,508200.0,1984,1,11
Georgetown University,75.0,G,0.0,0.0,0.0,14.1,0.496,7.0,0.774,4.8,3.7,130.0,17.7,508200.0,1984,1,13
University of Texas at Austin,73.0,G,0.0,0.0,0.0,11.9,0.455,5.4,0.733,3.2,2.3,112.0,13.2,508200.0,1984,2,43
University of Virginia,80.0,F,0.4,0.28300000000000003,0.1,13.1,0.449,5.9,0.6729999999999999,5.1,3.4,129.0,15.3,508200.0,1995,2,33
"Robert Morris University (PA), University of Detroit Mercy",81.0,F-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508200.0,1984,3,58
University of Michigan,77.0,G-F,0.0,0.0,0.0,18.2,0.486,8.9,0.703,5.2,3.7,114.0,21.4,508200.0,1984,1,19
University of Michigan,77.0,G,2.7,0.35100000000000003,0.9,9.4,0.47700000000000004,4.5,0.6759999999999999,2.9,2.0,130.0,11.9,508200.0,1995,2,35
Wichita State University,80.0,F,0.0,0.0,0.0,12.2,0.5379999999999999,6.6,0.621,4.9,3.0,91.0,16.2,508200.0,1984,1,9
Ohio State University,82.0,C-F,0.0,0.0,0.0,14.7,0.499,7.3,0.669,4.5,3.0,114.0,17.6,508200.0,1984,1,14
University of Michigan,80.0,F-C,0.0,0.0,0.0,12.5,0.535,6.7,0.631,5.0,3.1,88.0,16.5,508200.0,1984,1,15
University of Alabama,75.0,G,0.0,0.0,0.0,10.3,0.498,5.1,0.748,4.5,3.4,63.0,13.7,508200.0,1984,1,13
University of Alabama,73.0,G,4.8,0.294,1.4,10.9,0.405,4.4,0.847,3.4,2.8,64.0,13.1,512235.676,2003,2,47
University of Arizona,80.0,F,1.8,0.284,0.5,7.6,0.426,3.3,0.685,3.1,2.1,129.0,9.1,512235.676,2003,2,32
Wake Forest University,81.0,F,0.3,0.34299999999999997,0.1,9.6,0.511,4.9,0.831,5.3,4.4,130.0,14.3,512235.676,2003,2,50
Ball State University,80.0,F,3.2,0.37,1.2,11.7,0.479,5.6,0.725,5.1,3.7,99.0,16.2,512235.676,2003,0,0
Bowling Green State University,74.0,G,4.5,0.39899999999999997,1.8,12.1,0.426,5.2,0.7909999999999999,6.3,5.0,111.0,17.1,512235.676,2003,0,0
Creighton University,79.0,G-F,6.4,0.45299999999999996,2.9,9.3,0.47200000000000003,4.4,0.8909999999999999,2.7,2.4,128.0,14.1,512235.676,2003,2,51
"University of California, Los Angeles",80.0,F,5.6,0.446,2.5,11.7,0.469,5.5,0.83,3.6,3.0,127.0,16.5,512235.676,2003,2,31
University of California,84.0,C,0.0,0.0,0.0,4.8,0.47700000000000004,2.3,0.51,1.7,0.9,58.0,5.5,512235.676,2003,2,41
University of Miami,80.0,F-G,2.7,0.38299999999999995,1.0,8.9,0.426,3.8,0.831,3.0,2.5,122.0,11.1,512235.676,2003,2,49
Ohio University,79.0,F,1.0,0.33899999999999997,0.3,11.6,0.51,5.9,0.608,7.8,4.7,119.0,16.9,512235.676,2003,2,56
University of Detroit Mercy,76.0,G,2.8,0.35200000000000004,1.0,11.4,0.461,5.2,0.757,3.8,2.9,124.0,14.3,512235.676,2003,2,41
Auburn University,78.0,G-F,2.0,0.29600000000000004,0.6,10.8,0.496,5.4,0.6459999999999999,3.8,2.4,111.0,13.8,512235.676,2003,0,0
University of Kentucky,77.0,G-F,5.5,0.342,1.9,11.4,0.43700000000000006,5.0,0.688,3.5,2.4,135.0,14.2,512235.676,2003,2,43
Tulane University,80.0,F,1.4,0.315,0.4,5.5,0.47,2.6,0.6559999999999999,1.5,1.0,107.0,6.7,512235.676,2003,0,0
University of Maryland,75.0,G,3.5,0.381,1.3,6.8,0.401,2.7,0.7709999999999999,2.0,1.5,138.0,8.3,512235.676,2003,2,38
Gonzaga University,77.0,G,5.1,0.423,2.2,9.2,0.449,4.1,0.799,2.6,2.1,130.0,12.5,512235.676,2003,0,0
Western Michigan University,82.0,C,0.0,1.0,0.0,7.7,0.534,4.1,0.6409999999999999,3.8,2.4,109.0,10.7,512235.676,2003,0,0
"Utah Valley State College, Brigham Young University",78.0,G,2.4,0.369,0.9,9.8,0.434,4.3,0.774,4.9,3.8,86.0,13.2,512235.676,2003,2,37
University of Florida,80.0,F-C,0.0,0.0,0.0,8.3,0.584,4.9,0.6659999999999999,5.9,4.0,130.0,13.7,512235.676,2003,0,0
"Midland College, University of North Dakota",82.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512235.676,2003,2,33
"University of California, Los Angeles",77.0,G-F,1.7,0.34299999999999997,0.6,10.3,0.5379999999999999,5.5,0.7509999999999999,3.7,2.8,124.0,14.4,512320.0,1997,2,31
Saint Joseph's University,78.0,F-G,2.0,0.40399999999999997,0.8,11.3,0.516,5.8,0.737,4.4,3.3,114.0,15.1,515475.0,1987,1,16
Illinois State University,83.0,C-F,0.0,0.0,0.0,14.5,0.475,6.9,0.6940000000000001,3.8,2.6,81.0,16.4,518661.00000000006,1985,2,37
University of Notre Dame,81.0,F,1.6,0.409,0.7,6.0,0.46799999999999997,2.8,0.81,3.8,3.1,108.0,9.4,519653.4209999999,2008,0,0
University of Maryland,83.0,F-C,0.0,0.0,0.0,14.3,0.555,7.9,0.799,5.8,4.6,88.0,20.5,519870.00000000006,1985,1,9
"University of Nevada, Reno",82.0,F-C,0.0,0.0,0.0,14.6,0.498,7.3,0.685,5.9,4.0,101.0,18.6,520905.0,1984,2,31
"University of South Carolina, University of Oklahoma",73.0,G,5.6,0.41,2.3,10.7,0.45399999999999996,4.9,0.818,4.2,3.4,124.0,15.5,521852.0,1992,2,32
University of Florida,82.0,F,3.2,0.395,1.3,8.8,0.503,4.4,0.74,2.5,1.9,131.0,12.0,525903.105,2004,2,45
University of Michigan,78.0,G-F,1.9,0.297,0.6,10.4,0.44,4.6,0.8140000000000001,3.4,2.8,120.0,12.5,525903.105,2004,2,45
William Paterson University,73.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525903.105,2004,0,0
"California State University, Fullerton",82.0,F,0.9,0.294,0.3,11.3,0.46799999999999997,5.3,0.667,7.3,4.9,72.0,15.8,525903.105,2004,2,47
Iowa State University,82.0,F-C,0.2,0.077,0.0,9.7,0.5579999999999999,5.4,0.512,4.7,2.4,63.0,13.2,525903.105,2004,2,31
"North Carolina State University, University of Georgia",78.0,F-G,2.3,0.305,0.7,8.8,0.408,3.6,0.725,4.2,3.1,117.0,10.9,525903.105,2004,0,0
"Rutgers University, Manhattan College",74.0,G,3.7,0.379,1.4,12.7,0.451,5.7,0.87,6.1,5.3,119.0,18.2,525903.105,2004,2,55
Texas Tech University,77.0,F,1.4,0.312,0.4,13.8,0.5,6.9,0.703,4.9,3.4,128.0,17.6,525903.105,2004,2,35
Kent State University,84.0,C,0.0,0.0,0.0,4.6,0.556,2.5,0.653,1.9,1.2,128.0,6.3,525903.105,2004,0,0
University of Mississippi,80.0,F,1.3,0.285,0.4,11.7,0.47600000000000003,5.6,0.7070000000000001,4.4,3.1,122.0,14.6,525903.105,2004,2,40
University of Iowa,83.0,C,0.0,0.0,0.0,4.0,0.49200000000000005,2.0,0.7040000000000001,2.5,1.7,109.0,5.7,525903.105,2004,0,0
Duke University,73.0,G,3.5,0.321,1.1,7.2,0.418,3.0,0.693,2.4,1.7,144.0,8.8,525903.105,2004,2,38
University of Kentucky,80.0,F,0.6,0.26,0.1,6.3,0.5589999999999999,3.5,0.611,1.8,1.1,127.0,8.3,525903.105,2004,0,0
"University of California, Los Angeles",80.0,F,3.0,0.237,0.7,10.0,0.426,4.3,0.504,4.5,2.3,25.0,11.6,525903.105,2004,2,43
University of Memphis,73.0,G,1.7,0.401,0.7,9.2,0.469,4.3,0.6729999999999999,3.0,2.0,91.0,11.3,525903.105,2004,2,36
Seton Hall University,70.0,G,5.7,0.35100000000000003,2.0,12.4,0.415,5.1,0.773,3.9,3.0,122.0,15.3,525903.105,2004,0,0
University of Louisville,79.0,F,0.0,0.0,0.0,8.6,0.528,4.6,0.7190000000000001,3.7,2.7,143.0,11.8,526930.0,1987,1,19
University of Miami,80.0,F,0.5,0.16899999999999998,0.1,4.1,0.44,1.8,0.632,1.4,0.9,111.0,4.6,528430.4639999999,2012,0,0
Tennessee Technological University,77.0,G,4.0,0.37200000000000005,1.5,12.5,0.44299999999999995,5.5,0.7340000000000001,4.4,3.3,128.0,15.8,528542.0639999999,2012,2,47
Gonzaga University,84.0,C,0.0,0.25,0.0,6.0,0.504,3.0,0.735,4.5,3.3,136.0,9.3,528542.0639999999,2012,2,60
University of Kansas,75.0,G,2.2,0.37,0.8,7.9,0.47700000000000004,3.8,0.708,3.5,2.5,146.0,10.8,528542.0639999999,2012,2,41
University of Notre Dame,83.0,C,2.3,0.36,0.8,3.7,0.41700000000000004,1.5,0.574,0.5,0.3,128.0,4.2,528542.0639999999,2012,0,0
Texas A&M University,80.0,F-G,3.3,0.321,1.1,9.1,0.431,3.9,0.768,3.1,2.4,87.0,11.3,528542.0639999999,2012,2,39
